GROUP,WASSER,HEMI
CGS-,0.018083651,LH
CGS-,0.016792817,LH
CGS-,0.028036555,LH
CGS-,0.012096314,LH
CGS-,0.018031226,LH
CGS-,0.010868474,LH
CGS-,0.023184292,LH
CGS-,0.016917493,LH
CGS-,0.017529096,LH
CGS-,0.016016949,LH
CGS-,0.025074761,LH
CGS-,0.013473654,LH
CGS-,0.013278954,LH
CGS-,0.009819911,LH
CGS-,0.011169766,LH
CGS-,0.02194874,LH
CGS-,0.023724206,LH
CGS-,0.013951757,LH
CGS-,0.016452266,LH
CGS-,0.015766626,LH
CGS-,0.015895057,LH
CGS-,0.022140488,LH
CGS-,0.020394921,LH
CGS-,0.036045913,LH
CGS-,0.026596934,LH
CGS-,0.029936783,LH
CGS-,0.021365568,LH
CGS-,0.02266676,LH
CGS-,0.022007406,LH
CGS-,0.023316551,LH
CGS-,0.00948666,LH
CGS-,0.017818421,LH
CGS-,0.021321595,LH
CGS-,0.014747165,LH
CGS-,0.012982067,LH
CGS-,0.021959107,LH
CGS-,0.01364867,LH
CGS-,0.025976658,LH
CGS-,0.023767309,LH
CGS-,0.011845293,LH
CGS-,0.028833857,LH
CGS-,0.031476621,LH
CGS-,0.02259801,LH
CGS-,0.038721073,LH
CGS-,0.032762121,LH
CGS-,0.033561945,LH
CGS-,0.017406765,LH
CGS-,0.027995728,LH
CGS-,0.021395674,LH
CGS-,0.028713606,LH
CGS-,0.015409423,LH
CGS-,0.017815886,LH
CGS-,0.02568401,LH
CGS-,0.029323015,LH
CGS-,0.014553924,LH
CGS-,0.017632023,LH
CGS-,0.031183209,LH
CGS-,0.040079165,LH
CGS-,0.042721927,LH
CGS-,0.032472719,LH
CGS-,0.04996638,LH
CGS-,0.04350606,LH
CGS-,0.044807248,LH
CGS-,0.023537209,LH
CGS-,0.039241035,LH
CGS-,0.031011537,LH
CGS-,0.039958909,LH
CGS-,0.025892932,LH
CGS-,0.029061191,LH
CGS-,0.035122555,LH
CGS-,0.039108001,LH
CGS-,0.025001027,LH
CGS-,0.02379439,LH
CGS-,0.042428516,LH
CGS-,0.019799704,LH
CGS-,0.019811779,LH
CGS-,0.014531176,LH
CGS-,0.014593581,LH
CGS-,0.007840755,LH
CGS-,0.027867842,LH
CGS-,0.025523771,LH
CGS-,0.015874738,LH
CGS-,0.010299296,LH
CGS-,0.01986748,LH
CGS-,0.012063148,LH
CGS-,0.021372655,LH
CGS-,0.025659295,LH
CGS-,0.016040022,LH
CGS-,0.027992275,LH
CGS-,0.011764251,LH
CGS-,0.01747369,LH
CGS-,0.025433306,LH
CGS-,0.032740615,LH
CGS-,0.024919417,LH
CGS-,0.033267699,LH
CGS-,0.041174259,LH
CGS-,0.031435918,LH
CGS-,0.028011087,LH
CGS-,0.024913877,LH
CGS-,0.022101428,LH
CGS-,0.039911002,LH
CGS-,0.041676708,LH
CGS-,0.025350727,LH
CGS-,0.030635033,LH
CGS-,0.020956876,LH
CGS-,0.032801181,LH
CGS-,0.025918216,LH
CGS-,0.024964407,LH
CGS-,0.015794009,LH
CGS-,0.033982143,LH
CGS-,0.021986941,LH
CGS-,0.021631103,LH
CGS-,0.01168032,LH
CGS-,0.020189565,LH
CGS-,0.030462027,LH
CGS-,0.032142561,LH
CGS-,0.022885706,LH
CGS-,0.016811544,LH
CGS-,0.01846065,LH
CGS-,0.020036327,LH
CGS-,0.012515804,LH
CGS-,0.038625419,LH
CGS-,0.029161958,LH
CGS-,0.025536455,LH
CGS-,0.017823249,LH
CGS-,0.032339752,LH
CGS-,0.020905185,LH
CGS-,0.026829233,LH
CGS-,0.02796793,LH
CGS-,0.02496535,LH
CGS-,0.039352387,LH
CGS-,0.022726059,LH
CGS-,0.011835231,LH
CGS-,0.027511295,LH
CGS-,0.015015946,LH
CGS-,0.012649452,LH
CGS-,0.007981082,LH
CGS-,0.020963527,LH
CGS-,0.021108054,LH
CGS-,0.011244342,LH
CGS-,0.014019345,LH
CGS-,0.022734893,LH
CGS-,0.032131687,LH
CGS-,0.015121974,LH
CGS-,0.02953786,LH
CGS-,0.024169296,LH
CGS-,0.01685331,LH
CGS-,0.009699529,LH
CGS-,0.022318896,LH
CGS-,0.017603345,LH
CGS-,0.018957391,LH
CGS-,0.022751082,LH
CGS-,0.020658555,LH
CGS-,0.032720357,LH
CGS-,0.013977028,LH
CGS-,0.028435618,LH
CGS-,0.018763702,LH
CGS-,0.023964146,LH
CGS-,0.009442831,LH
CGS-,0.023800954,LH
CGS-,0.026296746,LH
CGS-,0.029147599,LH
CGS-,0.026414774,LH
CGS-,0.009187574,LH
CGS-,0.025978416,LH
CGS-,0.019468322,LH
CGS-,0.017551186,LH
CGS-,0.022876317,LH
CGS-,0.020072844,LH
CGS-,0.010797719,LH
CGS-,0.004851663,LH
CGS-,0.023681255,LH
CGS-,0.034454245,LH
CGS-,0.021292809,LH
CGS-,0.011762666,LH
CGS-,0.014904481,LH
CGS-,0.011595111,LH
CGS-,0.012075994,LH
CGS-,0.018730832,LH
CGS-,0.015375084,LH
CGS-,0.023783717,LH
CGS-,0.017965807,LH
CGS-,0.016589474,LH
CGS-,0.013422567,LH
CGS-,0.011899918,LH
CGS-,0.016178206,LH
CGS-,0.018491425,LH
CGS-,0.028584536,LH
CGS-,0.009491094,LH
CGS-,0.017515287,LH
CGS-,0.022315148,LH
CGS-,0.023654375,LH
CGS-,0.02016551,LH
CGS-,0.014370648,LH
CGS-,0.016535586,LH
CGS-,0.018612256,LH
CGS-,0.021125875,LH
CGS-,0.008551186,LH
CGS-,0.022891687,LH
CGS-,0.014082461,LH
CGS-,0.009758077,LH
CGS-,0.020562282,LH
CGS-,0.032102156,LH
CGS-,0.020935243,LH
CGS-,0.020704255,LH
CGS-,0.033767991,LH
CGS-,0.021390304,LH
CGS-,0.023745412,LH
CGS-,0.018532014,LH
CGS-,0.030341627,LH
PCGS,0.033386327,LH
PCGS,0.032558747,LH
PCGS,0.048470967,LH
PCGS,0.044400919,LH
PCGS,0.017135255,LH
PCGS,0.017051654,LH
PCGS,0.012588616,LH
PCGS,0.016190607,LH
PCGS,0.03358034,LH
PCGS,0.010522487,LH
PCGS,0.039348174,LH
PCGS,0.030324992,LH
PCGS,0.030774472,LH
PCGS,0.028399171,LH
PCGS,0.022455482,LH
PCGS,0.058572032,LH
PCGS,0.025134085,LH
PCGS,0.023211446,LH
PCGS,0.025456995,LH
PCGS,0.021924201,LH
PCGS,0.044840567,LH
PCGS,0.006576855,LH
PCGS,0.018948121,LH
PCGS,0.011622638,LH
PCGS,0.018860118,LH
PCGS,0.007154213,LH
PCGS,0.027060587,LH
PCGS,0.053855851,LH
PCGS,0.03680554,LH
PCGS,0.035776474,LH
PCGS,0.007734032,LH
PCGS,0.020336814,LH
PCGS,0.042997546,LH
PCGS,0.025743758,LH
PCGS,0.020778026,LH
PCGS,0.00787686,LH
PCGS,0.044730809,LH
PCGS,0.005913035,LH
PCGS,0.026269622,LH
PCGS,0.026357848,LH
PCGS,0.026373141,LH
PCGS,0.029006042,LH
PCGS,0.040088534,LH
PCGS,0.022787493,LH
PCGS,0.026942732,LH
PCGS,0.024828818,LH
PCGS,0.029434221,LH
PCGS,0.02177177,LH
PCGS,0.025470067,LH
