"DICE","Network","Hemi","Group","subj"
0,"DM_C","Left","CGS-",170631
0,"DM_C","Left","CGS-",175742
0,"DM_C","Left","CGS-",192136
0.0578778125345707,"DM_C","Left","CGS-",208125
0,"DM_C","Left","CGS-",220721
0,"DM_C","Left","CGS-",576255
0,"DM_C","Left","CGS-",588565
0,"DM_C","Left","CGS-",680250
0,"DM_C","Left","CGS-",894774
0.00246305414475501,"DM_C","Left","CGS-",993675
0,"SM_B","Left","CGS-",133928
0,"SM_B","Left","CGS-",136227
0.133333340287209,"SM_B","Left","CGS-",144832
0,"SM_B","Left","CGS-",147737
0,"SM_B","Left","CGS-",161731
0,"SM_B","Left","CGS-",163331
0,"SM_B","Left","CGS-",165234
0,"SM_B","Left","CGS-",167743
0.00280898879282176,"SM_B","Left","CGS-",173940
0,"SM_B","Left","CGS-",194847
0,"SM_B","Left","CGS-",210011
0,"SM_B","Left","CGS-",210415
0.0146198831498623,"SM_B","Left","CGS-",214726
0.0116959065198898,"SM_B","Left","CGS-",217429
0,"SM_B","Left","CGS-",371843
0,"SM_B","Left","CGS-",422632
0.256544500589371,"SM_B","Left","CGS-",475855
0,"SM_B","Left","CGS-",485757
0,"SM_B","Left","CGS-",592455
0,"SM_B","Left","CGS-",645551
0,"SM_B","Left","CGS-",654754
0,"SM_B","Left","CGS-",679568
0,"SM_B","Left","CGS-",734045
0,"SM_B","Left","CGS-",788876
0,"SM_B","Left","CGS-",937160
0,"SM_B","Left","CGS-",957974
0,"SM_B","Left","CGS-",105620
0,"SM_B","Left","CGS-",109830
0.0920502096414566,"SM_B","Left","CGS-",117930
0.0395604409277439,"SM_B","Left","CGS-",129634
0,"SM_B","Left","CGS-",134223
0,"SM_B","Left","CGS-",136732
0,"SM_B","Left","CGS-",144125
0,"SM_B","Left","CGS-",160729
0,"SM_B","Left","CGS-",170631
